t,gz_dps
5.726376,-0.053435
5.731387,-0.076336
5.736376,-0.076336
5.741387,-0.10687
5.746376,-0.068702
5.751387,-0.030534
5.756376,-0.076336
5.761387,-0.083969
5.766376,-0.091603
5.771387,-0.045802
5.776376,-0.145038
5.781387,-0.114504
5.786376,-0.167939
5.791387,-0.152672
5.796376,-0.083969
5.801387,-0.099237
5.806376,-0.068702
5.811387,-0.053435
5.816376,-0.076336
5.821387,-0.083969
5.826376,-0.076336
5.831387,-0.038168
5.836376,-0.038168
5.841387,-0.068702
5.846376,-0.10687
5.851387,-0.053435
5.856376,-0.045802
5.861387,0.007634
5.866376,-0.045802
5.871387,-0.122137
5.876376,-0.076336
5.881387,-0.145038
5.886376,-0.175573
5.891387,-0.175573
5.896376,-0.053435
5.901387,-0.061069
5.906376,-0.129771
5.911387,-0.038168
5.916376,-0.076336
5.921387,-0.122137
5.926376,-0.038168
5.931387,-0.061069
5.936376,-0.099237
5.941387,-0.099237
5.946376,-0.015267
5.951387,0.007634
5.956376,-0.045802
5.961387,0.007634
5.966376,-0.061069
5.971387,0.0
5.976376,-0.038168
5.981387,-0.030534
5.986376,-0.045802
5.991387,-0.160305
5.996376,-0.244275
6.001387,-0.083969
6.006376,-0.061069
6.011387,0.007634
6.016376,-0.061069
6.021387,-0.083969
6.026376,-0.083969
6.031387,-0.068702
6.036376,-0.122137
6.041387,-0.221374
6.046376,-0.160305
6.051387,-0.053435
6.056376,-0.068702
6.061387,-0.114504
6.066376,-0.068702
6.071387,-0.122137
6.076376,-0.076336
6.081387,-0.076336
6.086376,-0.038168
6.091387,-0.099237
6.096376,-0.061069
6.101387,-0.114504
6.106376,-0.129771
6.111387,-0.091603
6.116376,-0.152672
6.121387,-0.045802
6.126376,-0.114504
6.131387,-0.038168
6.136376,0.007634
6.141387,0.007634
6.146376,0.015267
6.151387,-0.076336
6.156376,0.007634
6.161387,-0.015267
6.166376,-0.038168
6.171387,-0.061069
6.176376,-0.053435
6.181387,-0.030534
6.186376,-0.091603
6.191387,-0.10687
6.196376,-0.114504
6.201387,-0.068702
6.206376,-0.038168
6.211387,0.0
6.216376,-0.045802
6.221387,-0.137405
6.226376,-0.122137
6.231387,-0.076336
6.236376,-0.137405
6.241387,-0.21374
6.246376,-0.099237
6.251387,-0.145038
6.256376,-0.091603
6.261387,-0.030534
6.266376,-0.045802
6.271387,-0.152672
6.276376,-0.229008
6.281387,-0.175573
6.286376,-0.10687
6.291387,-0.160305
6.296376,-0.007634
6.301387,0.038168
6.306376,-0.015267
6.311387,-0.091603
6.316376,-0.114504
6.321387,-0.091603
6.326376,-0.053435
6.331387,-0.091603
6.336376,-0.061069
6.341387,-0.022901
6.346376,0.015267
6.351387,-0.022901
6.356376,-0.114504
6.361387,-0.076336
6.366376,-0.022901
6.371387,-0.022901
6.376376,-0.076336
6.381387,-0.083969
6.386376,-0.122137
6.391387,-0.122137
6.396376,-0.099237
6.401387,-0.137405
6.406376,-0.091603
6.411387,-0.122137
6.416376,-0.045802
6.421387,-0.038168
6.426376,-0.061069
6.431387,-0.145038
6.436376,-0.129771
6.441387,-0.122137
6.446376,-0.10687
6.451387,-0.145038
6.456376,-0.099237
6.461387,-0.045802
6.466376,-0.038168
6.471387,-0.030534
6.476376,-0.099237
6.481387,-0.076336
6.486376,-0.129771
6.491387,-0.099237
6.496376,-0.015267
6.501387,-0.007634
6.506376,-0.030534
6.511387,-0.129771
6.516376,-0.129771
6.521387,-0.167939
6.526376,-0.129771
6.531387,-0.206107
6.536376,-0.053435
6.541387,-0.022901
6.546376,-0.007634
6.551387,-0.091603
6.556376,-0.015267
6.561387,-0.045802
6.566376,-0.10687
6.571387,-0.114504
6.576376,-0.099237
6.581387,-0.10687
6.586376,-0.022901
6.591387,0.015267
6.596376,0.0
6.601387,-0.068702
6.606376,-0.10687
6.611387,-0.137405
