t_s,innovation_e_m,innovation_n_m,innovation_h_m,hdop,sats
345.67,0.09597184437140527,-0.7232841980798703,0.7296236194806816,1.76,6
345.797,-0.015059020816210023,0.24238276963726157,0.2428501207019936,1.76,5
346.769,0.07374519656757172,-0.6280677629920195,0.6323823755660727,1.76,6
347.64,0.04619354449420143,-0.4820333050881551,0.484241624364478,1.76,6
347.765,-0.011644534824370112,0.217501982231056,0.21781346943133376,1.76,6
348.685,1.597085265827232,0.30068074501088304,1.62514314961567,1.76,6
348.813,-0.17019825725171245,0.06528979470919438,0.18229153591071867,1.76,6
349.681,-0.39912911357080816,0.006233004361401839,0.3991777794957885,1.76,6
349.809,-0.15689378330628756,-0.0057705636948242045,0.1569998682977675,1.36,6
350.671,-0.10282594578546878,-0.9242443458364207,0.9299466575762663,1.36,6
350.796,-0.030845312484927945,0.3071962944742772,0.30874098633161695,1.36,6
351.671,0.03489448874945822,0.35400566340620543,0.3557212884671842,1.36,6
351.799,0.020715874471576967,0.12436634667057689,0.12607987801115705,1.36,6
352.711,0.09034755461560451,-0.37232796557029957,0.38313286803762714,1.36,6
352.84,-0.013757514942057014,0.15109125820910663,0.15171630606033043,1.36,6
353.709,0.05945488268274346,0.15721051050597623,0.1680774455076244,1.36,6
353.841,0.030689472314222144,0.051500600090232496,0.059951276221440544,1.36,6
354.662,0.09345450252848764,-0.014090704672092613,0.09451080362055565,1.36,6
354.789,0.040060936191693486,-0.0128742620623008,0.04207879789399567,1.36,6
355.662,0.10601983377117108,-0.7186583029146867,0.7264364813946808,1.36,6
355.828,-0.018414425435210546,0.2758650671938163,0.2764789799640431,1.36,6
356.749,0.06779531621174328,-0.5881483313932137,0.592042789518521,1.36,6
357.632,0.04419222493569919,0.02750820413268329,0.05205433737329491,1.36,6
357.76,-0.01207825204780022,0.15994249702960062,0.1603979006364921,1.36,6
358.632,1.5902699839689802,-0.24153634263714352,1.6085081369788679,1.36,6
358.759,-0.23052978941269942,0.10544099458530809,0.25349908707094493,1.36,6
359.701,-2.0582180127784113,-0.28341099011989,2.0776388467311273,1.36,6
359.835,0.10944204289512527,0.09355504779918178,0.1439795392469556,1.36,6
360.743,3.5807238167081437,-0.29813456511186587,3.5931138682840786,1.36,6
361.793,-1.3114419466562879,-0.4416966892676477,1.3838265587708722,1.36,6
362.721,-0.30217883844539983,-0.17148817502755165,0.3474481897758157,1.36,6
362.852,-0.08927842908143191,0.11117610988512183,0.1425859926796351,1.36,6
363.735,0.010362194930991109,-0.27757169289808914,0.2777650442048081,1.36,6
363.866,-0.017273442117939908,0.09857490731584306,0.1000768912133509,1.36,6
364.718,1.5651444684116456,-0.291741521600688,1.5921024849002205,1.36,6
364.849,-0.22897659703778572,0.09423279423065978,0.24760876700860648,1.36,6
365.654,-0.5402148414907941,-0.28519443358722896,0.610874733407811,1.36,6
365.784,-0.07286827674582241,0.10464913412796761,0.12751951626962488,1.36,6
366.687,-0.08277686795227623,-0.6941943109711204,0.699112116368081,1.36,6
366.818,-0.024266319141645454,0.1604885425288316,0.1623127429615826,1.36,6
367.634,0.018696705327215568,-0.14162401294152005,0.14285281877426348,1.36,6
367.764,-0.005879197849083084,0.12297564915204617,0.12311610476178905,1.36,6
368.664,0.045502226182719596,-0.4532481109284241,0.4555264017022157,1.36,6
368.794,-0.005177235369259847,0.1351680918368494,0.1352672052527281,1.36,6
369.723,0.05367252154810842,-0.20044544345824278,0.2075069043971881,1.36,6
369.896,-0.003509450526451019,0.11585045107201353,0.11590359466637179,1.36,6
370.675,0.05001404012035948,-0.2919349838694387,0.2961881817628961,1.36,6
370.808,-0.006401608159961825,0.11930037888793166,0.1194720092316093,1.36,6
371.698,0.06039905746544605,-0.6866772308114975,0.6893284162557503,1.36,6
371.831,-0.0049801173951777855,0.16941574098173007,0.16948892253377035,1.36,6
372.748,0.06759346952327405,-0.1291201518123799,0.1457425494707905,1.36,6
373.653,0.05339826868797104,0.22765069765063473,0.23382945759611523,1.36,6
373.785,0.028473749193963727,0.07892274380788322,0.08390204933924748,1.36,6
374.72,-1.4221004812062148,-1.058030390018196,1.7725118010464707,1.36,6
374.853,0.41019175957988807,0.3228363390441906,0.5219967255018946,1.36,6
375.686,2.250918968509268,-0.432882665545538,2.2921657018908204,1.36,6
375.82,-0.24739675403178296,0.24364584779453224,0.34722968342723654,1.36,6
376.716,-0.47352237443733713,-0.4631896723061999,0.6623957364173614,1.36,6
376.849,-0.07969621070570554,0.20295946746675142,0.21804593881848738,1.36,6
377.636,-0.03574740846217139,-0.5261551447226793,0.5273681005994816,1.36,6
